State,Crop,Season,Soil_Type,Soil_Quality_Score,Area_Hectares,Production_Tonnes,Yield_Tonnes_Per_Ha,Rainfall_mm,Normal_Rainfall_mm,Rainfall_Deviation_Pct,Temperature_C,Fertiliser_Kg_Ha,Irrigation,Insurance_Claim
Tamil Nadu,Jowar,Kharif,Black,4,32.34,61.14,1.891,1304.4,794.2,64.24,22.1,82.3,0,1
Rajasthan,Pulses,Zaid,Sandy,1,20.01,78.77,3.936,444.9,974.5,-54.35,21.7,61.0,0,1
Uttar Pradesh,Maize,Rabi,Laterite,2,23.67,135.08,5.706,675.4,982.5,-31.26,36.5,208.2,1,1
Haryana,Jowar,Rabi,Alluvial,5,45.36,183.89,4.054,1099.8,406.7,170.38,39.5,380.1,0,0
Uttar Pradesh,Cotton,Rabi,Black,4,46.57,188.92,4.057,512.6,1256.2,-59.19,32.5,371.0,1,1
Rajasthan,Jowar,Rabi,Sandy,1,44.82,209.87,4.682,822.8,801.7,2.63,24.3,333.4,0,0
Haryana,Rice,Kharif,Black,4,7.35,19.59,2.666,956.7,891.8,7.28,19.3,270.0,1,0
Punjab,Maize,Zaid,Red,3,42.58,191.71,4.502,423.4,800.0,-47.07,42.3,349.7,1,1
Punjab,Soybean,Kharif,Laterite,2,47.44,264.79,5.581,632.8,1170.3,-45.92,28.7,230.3,0,1
Tamil Nadu,Bajra,Zaid,Sandy,1,18.38,19.38,1.054,847.5,1043.4,-18.77,28.6,113.1,1,1
Rajasthan,Wheat,Rabi,Sandy,1,26.17,140.04,5.351,913.3,1166.1,-21.68,22.4,289.5,1,1
Tamil Nadu,Rice,Zaid,Alluvial,5,39.07,81.77,2.093,594.4,921.0,-35.46,30.1,372.2,1,1
Madhya Pradesh,Pulses,Kharif,Alluvial,5,28.32,92.89,3.28,1260.1,986.8,27.7,24.8,56.9,0,0
Maharashtra,Maize,Kharif,Alluvial,5,49.68,261.39,5.262,920.2,693.3,32.73,19.7,138.0,1,0
Karnataka,Cotton,Rabi,Black,4,23.06,118.05,5.12,994.2,810.3,22.69,24.0,142.9,1,0
Madhya Pradesh,Sugarcane,Kharif,Laterite,2,35.84,195.67,5.46,979.5,986.9,-0.75,28.4,84.7,1,0
Maharashtra,Maize,Kharif,Black,4,39.73,226.56,5.702,409.2,897.7,-54.42,35.2,128.9,1,1
Haryana,Pulses,Zaid,Laterite,2,24.96,80.76,3.236,771.3,865.9,-10.92,16.6,184.4,1,0
Tamil Nadu,Wheat,Kharif,Sandy,1,42.92,183.78,4.282,795.9,733.6,8.49,18.6,378.9,1,0
Haryana,Wheat,Rabi,Black,4,27.53,81.29,2.952,736.4,1024.8,-28.14,23.4,351.1,1,1
Haryana,Groundnut,Rabi,Black,4,20.88,57.49,2.754,851.9,1022.7,-16.7,20.4,381.1,0,0
Maharashtra,Bajra,Kharif,Black,4,5.84,18.43,3.158,273.2,1006.3,-72.85,26.0,92.2,1,1
Rajasthan,Pulses,Rabi,Red,3,19.97,94.18,4.715,832.0,893.8,-6.91,23.0,59.8,1,0
Maharashtra,Wheat,Zaid,Laterite,2,36.83,129.17,3.507,724.2,851.5,-14.96,26.7,88.5,0,0
Andhra Pradesh,Groundnut,Zaid,Laterite,2,46.1,233.76,5.07,271.0,1018.6,-73.4,27.0,370.0,0,1
Punjab,Groundnut,Kharif,Black,4,12.96,61.24,4.726,905.6,990.5,-8.57,17.9,105.1,0,0
Punjab,Groundnut,Kharif,Red,3,18.08,19.94,1.102,504.7,716.1,-29.52,24.7,250.4,1,1
Madhya Pradesh,Maize,Zaid,Black,4,8.12,33.71,4.151,704.9,897.5,-21.46,21.2,129.7,1,1
Punjab,Groundnut,Rabi,Laterite,2,34.69,110.42,3.183,736.4,948.7,-22.38,32.8,57.2,1,1
Maharashtra,Rice,Kharif,Sandy,1,48.03,157.69,3.283,338.5,749.0,-54.81,21.9,79.6,1,1
West Bengal,Pulses,Kharif,Red,3,32.23,164.1,5.092,366.4,985.5,-62.82,23.0,298.4,1,1
Tamil Nadu,Rice,Rabi,Red,3,31.05,116.05,3.738,936.3,957.6,-2.22,20.6,113.8,1,0
Maharashtra,Sugarcane,Kharif,Black,4,27.9,151.43,5.428,649.0,787.6,-17.59,25.8,130.2,0,0
Maharashtra,Wheat,Rabi,Sandy,1,4.88,22.27,4.564,701.8,646.5,8.55,25.1,182.0,1,0
Karnataka,Bajra,Rabi,Laterite,2,36.61,137.81,3.764,818.2,937.9,-12.76,34.9,280.0,0,0
Tamil Nadu,Groundnut,Rabi,Alluvial,5,30.3,144.62,4.773,360.4,1144.7,-68.51,25.8,214.3,0,1
Andhra Pradesh,Cotton,Rabi,Laterite,2,33.24,39.62,1.192,698.1,888.3,-21.42,34.1,380.6,0,1
Punjab,Cotton,Rabi,Laterite,2,44.99,51.08,1.135,772.3,946.2,-18.37,35.2,202.0,1,1
Tamil Nadu,Wheat,Zaid,Sandy,1,39.31,55.69,1.417,1241.1,675.2,83.82,23.9,119.7,1,1
Punjab,Sugarcane,Rabi,Red,3,39.16,124.82,3.188,569.9,842.8,-32.38,24.9,237.6,1,1
Madhya Pradesh,Cotton,Zaid,Laterite,2,46.4,101.01,2.177,997.2,833.3,19.67,22.6,207.8,0,0
Tamil Nadu,Rice,Rabi,Red,3,49.5,293.12,5.921,799.6,717.0,11.51,18.6,325.5,1,0
Punjab,Jowar,Kharif,Sandy,1,29.27,108.65,3.711,516.1,916.0,-43.65,40.2,377.3,0,1
Andhra Pradesh,Maize,Zaid,Sandy,1,5.89,25.4,4.312,641.8,910.2,-29.49,22.6,342.7,1,1
Uttar Pradesh,Soybean,Kharif,Black,4,23.23,55.61,2.394,1016.6,805.9,26.14,20.6,186.2,1,0
Haryana,Cotton,Rabi,Alluvial,5,39.49,103.02,2.609,994.2,848.1,17.23,19.6,125.6,1,0
Haryana,Bajra,Rabi,Sandy,1,1.87,5.01,2.677,669.9,1157.9,-42.14,22.2,370.1,0,1
Andhra Pradesh,Groundnut,Kharif,Sandy,1,3.32,14.9,4.494,885.9,756.9,17.05,24.2,185.1,1,0
Karnataka,Bajra,Rabi,Red,3,3.82,12.88,3.369,540.7,680.3,-20.51,33.5,319.6,1,1
Uttar Pradesh,Pulses,Kharif,Sandy,1,36.69,131.65,3.588,755.9,676.7,11.7,36.9,396.3,1,0
Madhya Pradesh,Maize,Rabi,Laterite,2,25.31,100.22,3.96,692.6,887.4,-21.95,13.5,252.1,0,1
Andhra Pradesh,Rice,Rabi,Black,4,18.76,90.88,4.844,1032.9,468.3,120.56,35.5,218.0,1,0
Haryana,Sugarcane,Zaid,Black,4,5.73,8.32,1.452,915.7,773.5,18.39,36.1,295.0,1,0
Haryana,Maize,Kharif,Laterite,2,36.75,179.48,4.884,631.0,704.7,-10.46,22.3,117.9,0,0
Haryana,Soybean,Rabi,Sandy,1,16.39,62.55,3.816,655.9,841.4,-22.05,20.5,220.9,1,1
Rajasthan,Jowar,Kharif,Alluvial,5,13.63,59.24,4.345,792.7,842.0,-5.85,29.1,159.3,1,0
Andhra Pradesh,Cotton,Zaid,Sandy,1,32.79,86.49,2.638,759.7,901.7,-15.75,22.2,107.5,0,0
Maharashtra,Sugarcane,Kharif,Black,4,28.17,85.84,3.047,730.1,942.3,-22.52,35.0,263.5,0,1
Madhya Pradesh,Sugarcane,Zaid,Alluvial,5,18.44,39.75,2.156,712.0,1021.3,-30.28,28.9,251.5,1,1
Haryana,Cotton,Kharif,Red,3,32.25,190.18,5.896,1144.8,797.0,43.65,21.5,316.4,0,0
Punjab,Cotton,Kharif,Red,3,13.93,48.53,3.485,687.0,750.1,-8.4,27.8,355.5,0,0
Andhra Pradesh,Cotton,Zaid,Sandy,1,39.84,238.28,5.98,875.0,977.9,-10.52,26.4,127.1,1,0
Rajasthan,Cotton,Rabi,Sandy,1,11.85,40.87,3.449,1405.7,601.2,133.83,14.5,322.9,1,0
Andhra Pradesh,Cotton,Rabi,Alluvial,5,8.36,17.55,2.099,588.4,963.6,-38.94,20.1,178.6,0,1
Madhya Pradesh,Sugarcane,Rabi,Alluvial,5,39.23,138.77,3.537,848.2,871.5,-2.67,22.1,270.1,1,0
Rajasthan,Wheat,Kharif,Sandy,1,35.54,42.58,1.198,861.1,917.4,-6.13,28.3,347.6,0,1
Madhya Pradesh,Wheat,Kharif,Black,4,9.54,52.7,5.524,797.2,904.7,-11.88,29.4,139.7,0,0
Andhra Pradesh,Bajra,Rabi,Red,3,6.25,31.85,5.093,810.3,870.5,-6.91,33.2,260.3,0,0
Maharashtra,Wheat,Kharif,Alluvial,5,42.0,194.43,4.629,580.3,876.6,-33.8,21.8,218.1,0,1
Madhya Pradesh,Soybean,Kharif,Black,4,38.94,157.68,4.049,889.7,683.4,30.19,17.1,326.7,1,0
Rajasthan,Wheat,Rabi,Sandy,1,16.7,65.11,3.899,340.7,752.3,-54.71,20.9,294.0,1,1
Rajasthan,Sugarcane,Zaid,Laterite,2,33.08,197.94,5.984,1249.5,1116.6,11.9,21.8,319.4,1,0
Madhya Pradesh,Cotton,Kharif,Alluvial,5,6.65,15.88,2.39,1228.3,950.9,29.16,21.2,150.8,1,0
West Bengal,Groundnut,Kharif,Laterite,2,25.6,125.39,4.898,717.7,1009.1,-28.88,25.9,296.5,0,1
Andhra Pradesh,Groundnut,Kharif,Black,4,1.43,5.58,3.907,1062.9,798.2,33.17,30.2,262.0,1,0
West Bengal,Soybean,Kharif,Red,3,19.88,116.91,5.879,726.7,861.9,-15.69,23.5,209.8,0,0
Karnataka,Pulses,Zaid,Black,4,4.2,21.61,5.139,802.5,929.0,-13.62,29.0,182.4,0,0
Andhra Pradesh,Sugarcane,Rabi,Red,3,24.02,143.94,5.993,629.8,1030.9,-38.91,31.8,166.1,0,1
Madhya Pradesh,Rice,Kharif,Black,4,21.37,84.25,3.942,1004.9,827.1,21.5,25.9,53.4,0,0
Uttar Pradesh,Maize,Rabi,Alluvial,5,22.5,45.51,2.023,654.7,921.6,-28.96,19.2,109.3,1,1
Madhya Pradesh,Bajra,Kharif,Alluvial,5,2.74,9.65,3.518,996.3,956.6,4.15,24.3,70.6,0,0
West Bengal,Rice,Zaid,Laterite,2,18.4,83.82,4.556,789.5,990.2,-20.27,32.1,346.9,1,1
Maharashtra,Sugarcane,Rabi,Black,4,37.95,184.87,4.872,795.7,819.8,-2.94,29.8,351.0,1,0
Madhya Pradesh,Wheat,Zaid,Black,4,18.76,18.81,1.003,427.2,1042.3,-59.02,19.6,346.2,0,1
Madhya Pradesh,Cotton,Kharif,Laterite,2,35.9,126.56,3.525,815.0,636.6,28.01,33.1,336.3,1,0
Maharashtra,Rice,Zaid,Sandy,1,18.79,40.89,2.176,513.5,680.6,-24.54,24.0,127.5,1,1
Madhya Pradesh,Maize,Zaid,Black,4,21.45,115.29,5.375,815.4,922.1,-11.57,19.6,222.1,1,0
Haryana,Pulses,Kharif,Black,4,28.41,50.13,1.765,1284.9,918.1,39.95,25.8,367.7,0,1
Uttar Pradesh,Groundnut,Kharif,Black,4,47.56,206.04,4.332,452.6,814.8,-44.45,16.9,315.9,1,1
Punjab,Pulses,Rabi,Sandy,1,5.89,13.72,2.33,763.3,783.7,-2.6,29.9,50.6,0,0
Uttar Pradesh,Maize,Kharif,Alluvial,5,2.13,5.93,2.783,641.1,785.7,-18.4,32.9,210.8,1,0
Madhya Pradesh,Cotton,Rabi,Laterite,2,30.59,174.47,5.703,539.9,715.1,-24.5,20.0,53.7,0,1
Haryana,Wheat,Zaid,Sandy,1,47.48,104.56,2.202,602.2,843.3,-28.59,25.0,148.2,0,1
Andhra Pradesh,Maize,Zaid,Red,3,49.49,73.0,1.475,1167.7,616.6,89.38,31.2,202.5,0,1
Madhya Pradesh,Bajra,Rabi,Red,3,24.47,32.94,1.346,1234.1,1019.8,21.02,18.0,362.5,0,1
West Bengal,Maize,Kharif,Sandy,1,23.67,83.39,3.523,538.4,907.3,-40.66,18.7,279.0,0,1
Haryana,Sugarcane,Kharif,Sandy,1,32.43,136.47,4.209,900.2,1044.1,-13.78,24.6,176.9,1,0
Maharashtra,Wheat,Zaid,Alluvial,5,28.0,73.83,2.636,570.3,874.2,-34.77,24.3,221.7,1,1
Haryana,Cotton,Rabi,Red,3,31.89,141.94,4.451,630.4,844.4,-25.34,26.3,336.1,1,1
Maharashtra,Groundnut,Zaid,Laterite,2,43.76,57.12,1.305,287.7,868.8,-66.89,25.4,154.9,0,1
Karnataka,Groundnut,Zaid,Black,4,37.44,197.94,5.287,1333.0,745.1,78.9,18.0,265.3,0,0
Punjab,Maize,Kharif,Black,4,25.1,127.56,5.083,1074.6,663.5,61.96,16.3,141.8,1,0
Tamil Nadu,Sugarcane,Rabi,Alluvial,5,23.36,138.48,5.927,637.1,702.3,-9.29,18.1,218.0,0,0
Haryana,Rice,Zaid,Alluvial,5,32.16,182.75,5.683,871.2,786.1,10.83,29.0,58.6,1,0
Rajasthan,Pulses,Kharif,Red,3,23.06,64.12,2.781,700.0,717.5,-2.44,31.7,348.3,1,0
West Bengal,Pulses,Zaid,Laterite,2,23.16,69.4,2.996,1036.5,1052.3,-1.5,25.5,66.9,0,0
Madhya Pradesh,Pulses,Zaid,Laterite,2,1.31,6.18,4.73,714.7,744.2,-3.97,30.3,128.5,1,0
West Bengal,Rice,Kharif,Sandy,1,9.12,15.23,1.67,751.3,909.0,-17.35,22.4,166.7,1,1
Uttar Pradesh,Sugarcane,Kharif,Alluvial,5,24.68,63.43,2.57,634.5,937.7,-32.33,23.8,268.8,1,1
Tamil Nadu,Pulses,Rabi,Black,4,41.22,65.65,1.593,951.0,1035.6,-8.17,31.5,302.0,1,0
Uttar Pradesh,Bajra,Zaid,Black,4,14.3,46.81,3.274,1352.3,952.2,42.01,28.8,78.2,1,0
Karnataka,Rice,Rabi,Red,3,26.37,99.15,3.76,728.9,824.0,-11.53,27.1,65.2,1,0
Tamil Nadu,Rice,Kharif,Black,4,17.58,36.13,2.056,726.1,1105.9,-34.35,25.1,329.6,1,1
Tamil Nadu,Cotton,Kharif,Laterite,2,5.69,6.45,1.133,793.7,663.4,19.64,19.1,299.3,1,1
Uttar Pradesh,Cotton,Zaid,Laterite,2,47.94,220.35,4.597,865.1,709.0,22.01,26.5,341.0,1,0
Maharashtra,Wheat,Rabi,Alluvial,5,42.81,47.09,1.1,725.3,883.0,-17.86,27.9,286.8,0,1
Uttar Pradesh,Bajra,Rabi,Red,3,4.39,25.73,5.867,701.9,862.9,-18.65,39.2,312.9,0,0
West Bengal,Bajra,Zaid,Black,4,36.13,76.16,2.108,820.6,972.6,-15.62,25.5,182.7,1,0
Maharashtra,Wheat,Zaid,Alluvial,5,17.71,76.48,4.32,362.2,874.1,-58.56,23.8,256.6,0,1
West Bengal,Bajra,Rabi,Sandy,1,49.75,157.88,3.174,663.1,905.4,-26.75,27.7,331.9,1,1
Karnataka,Soybean,Kharif,Sandy,1,15.47,20.08,1.298,299.8,999.4,-70.01,34.7,110.2,0,1
Madhya Pradesh,Jowar,Kharif,Black,4,12.32,41.4,3.361,676.8,871.1,-22.3,28.1,198.0,0,1
Andhra Pradesh,Pulses,Zaid,Black,4,28.61,102.53,3.584,562.9,951.9,-40.86,24.9,309.2,0,1
Maharashtra,Cotton,Rabi,Black,4,41.84,220.63,5.273,956.7,736.7,29.88,21.3,236.4,0,0
Karnataka,Wheat,Rabi,Laterite,2,10.03,46.76,4.662,616.2,746.5,-17.46,21.0,288.6,1,0
Rajasthan,Wheat,Rabi,Black,4,35.62,49.74,1.397,708.6,982.2,-27.85,30.7,152.5,1,1
Karnataka,Bajra,Kharif,Sandy,1,3.54,7.24,2.046,263.0,868.2,-69.7,24.3,61.3,1,1
Uttar Pradesh,Rice,Kharif,Black,4,45.99,117.7,2.559,1055.6,875.4,20.59,38.0,60.2,1,0
Uttar Pradesh,Groundnut,Rabi,Red,3,4.51,7.14,1.582,528.4,746.0,-29.17,26.5,380.0,1,1
Andhra Pradesh,Maize,Rabi,Sandy,1,45.75,150.28,3.284,679.3,788.7,-13.87,28.9,380.6,1,0
Karnataka,Maize,Zaid,Red,3,24.79,146.82,5.922,994.5,893.0,11.37,22.7,123.9,1,0
Punjab,Wheat,Zaid,Sandy,1,22.68,81.04,3.573,995.5,804.8,23.69,21.1,101.6,0,0
Madhya Pradesh,Pulses,Rabi,Alluvial,5,48.68,229.25,4.709,522.3,720.7,-27.53,30.6,56.3,1,1
Uttar Pradesh,Soybean,Rabi,Sandy,1,49.52,218.63,4.415,931.7,722.5,28.97,33.2,130.9,1,0
Andhra Pradesh,Pulses,Kharif,Sandy,1,32.68,171.58,5.25,512.8,754.4,-32.02,20.0,167.0,1,1
Madhya Pradesh,Wheat,Rabi,Red,3,6.79,14.12,2.079,858.1,799.2,7.37,21.6,134.4,1,0
Karnataka,Pulses,Zaid,Red,3,25.56,121.88,4.769,603.9,808.5,-25.3,22.0,329.1,0,1
Karnataka,Cotton,Kharif,Sandy,1,26.69,144.33,5.407,546.2,1085.3,-49.67,30.1,312.3,1,1
Tamil Nadu,Pulses,Zaid,Sandy,1,25.97,48.23,1.858,808.8,988.6,-18.19,28.2,78.4,0,1
Andhra Pradesh,Bajra,Zaid,Laterite,2,28.69,78.44,2.734,619.1,894.5,-30.79,25.4,294.1,0,1
Uttar Pradesh,Bajra,Kharif,Alluvial,5,1.43,8.35,5.851,1304.6,1129.4,15.52,21.3,232.2,1,0
Punjab,Soybean,Zaid,Alluvial,5,35.71,175.1,4.904,645.6,832.7,-22.47,35.6,96.3,0,1
Karnataka,Cotton,Rabi,Black,4,35.76,86.3,2.413,502.0,921.3,-45.51,31.9,308.8,1,1
Punjab,Groundnut,Zaid,Sandy,1,6.22,23.74,3.82,575.3,899.3,-36.03,14.0,80.1,1,1
Karnataka,Rice,Kharif,Sandy,1,28.73,86.8,3.022,795.7,920.9,-13.6,31.1,112.0,1,0
Uttar Pradesh,Cotton,Kharif,Sandy,1,28.63,98.78,3.45,828.0,737.7,12.23,24.3,102.2,1,0
Madhya Pradesh,Sugarcane,Kharif,Sandy,1,34.28,95.16,2.776,877.4,804.3,9.08,22.4,378.7,1,0
Haryana,Jowar,Zaid,Alluvial,5,4.73,11.33,2.397,1027.9,728.3,41.14,30.6,294.4,1,0
Madhya Pradesh,Wheat,Rabi,Red,3,31.51,137.83,4.374,382.3,911.1,-58.04,28.1,194.0,1,1
Karnataka,Sugarcane,Kharif,Laterite,2,14.4,70.44,4.893,1039.3,850.5,22.2,26.5,337.8,1,0
West Bengal,Soybean,Rabi,Red,3,25.6,137.45,5.37,571.5,567.7,0.68,20.6,125.6,1,0
Haryana,Sugarcane,Kharif,Red,3,38.78,68.9,1.777,900.4,927.0,-2.87,32.1,375.9,0,1
Haryana,Bajra,Rabi,Alluvial,5,35.43,181.2,5.114,1230.3,882.5,39.41,18.6,293.9,0,0
Punjab,Pulses,Rabi,Laterite,2,6.39,14.52,2.274,600.4,1105.6,-45.69,30.6,245.9,1,1
Andhra Pradesh,Rice,Rabi,Sandy,1,29.76,93.36,3.137,590.1,989.1,-40.34,26.5,328.1,1,1
Punjab,Maize,Kharif,Alluvial,5,48.47,266.94,5.507,543.9,1016.9,-46.51,25.8,275.7,1,1
Punjab,Wheat,Zaid,Alluvial,5,8.26,27.03,3.273,715.5,680.7,5.12,22.7,360.5,1,0
West Bengal,Maize,Zaid,Laterite,2,42.72,84.81,1.985,1116.3,1017.7,9.69,27.0,340.2,0,1
Madhya Pradesh,Pulses,Zaid,Black,4,35.28,63.47,1.799,521.4,820.8,-36.47,17.7,119.2,0,1
Madhya Pradesh,Bajra,Rabi,Alluvial,5,38.81,130.6,3.365,676.6,746.2,-9.33,33.4,133.9,1,0
Rajasthan,Bajra,Kharif,Red,3,14.46,69.59,4.813,1043.9,498.2,109.55,23.6,72.8,1,0
Karnataka,Pulses,Rabi,Red,3,14.75,88.3,5.986,956.0,1047.0,-8.69,21.9,127.1,1,0
West Bengal,Wheat,Kharif,Sandy,1,45.35,223.88,4.937,675.1,807.3,-16.38,24.8,170.2,1,0
Rajasthan,Maize,Rabi,Alluvial,5,18.31,98.61,5.385,747.3,831.7,-10.15,23.8,60.1,1,0
Uttar Pradesh,Cotton,Kharif,Sandy,1,3.62,17.15,4.739,1029.0,898.2,14.56,33.5,160.2,1,0
Karnataka,Bajra,Kharif,Alluvial,5,30.23,165.57,5.477,1195.4,1129.3,5.85,15.6,320.0,1,0
Karnataka,Maize,Kharif,Laterite,2,6.68,9.23,1.381,1225.3,816.1,50.13,25.6,344.1,1,1
Tamil Nadu,Groundnut,Rabi,Alluvial,5,39.93,225.6,5.65,1145.0,847.7,35.07,35.5,53.1,0,0
Tamil Nadu,Maize,Zaid,Black,4,32.27,96.22,2.982,632.5,995.3,-36.45,26.4,52.5,1,1
Maharashtra,Groundnut,Rabi,Red,3,43.8,245.63,5.608,1254.7,808.1,55.25,27.1,101.2,0,0
Maharashtra,Groundnut,Rabi,Laterite,2,39.35,54.25,1.379,615.3,725.3,-15.17,25.8,355.4,1,1
Punjab,Bajra,Kharif,Red,3,6.05,27.68,4.576,387.2,521.7,-25.78,22.1,214.2,1,1
Uttar Pradesh,Wheat,Kharif,Sandy,1,19.36,90.59,4.678,828.1,1050.4,-21.17,29.2,394.0,1,1
Haryana,Soybean,Zaid,Laterite,2,38.84,232.44,5.985,1169.1,885.8,31.98,24.8,360.6,0,0
Haryana,Bajra,Zaid,Black,4,21.16,102.5,4.844,965.9,931.9,3.65,26.8,361.5,1,0
Tamil Nadu,Wheat,Kharif,Red,3,48.63,141.66,2.913,781.6,777.1,0.58,29.3,95.0,0,0
Tamil Nadu,Wheat,Zaid,Alluvial,5,36.92,139.78,3.786,872.8,952.0,-8.31,28.7,216.3,0,0
Tamil Nadu,Sugarcane,Zaid,Alluvial,5,1.27,3.59,2.833,933.0,762.4,22.38,26.6,397.8,1,0
West Bengal,Pulses,Kharif,Alluvial,5,44.06,87.24,1.98,836.9,874.4,-4.29,31.4,102.2,1,0
Andhra Pradesh,Pulses,Rabi,Laterite,2,5.49,12.31,2.243,726.2,866.2,-16.16,32.1,251.0,0,0
Maharashtra,Pulses,Zaid,Black,4,7.46,15.73,2.11,614.8,1019.4,-39.69,30.7,170.5,0,1
West Bengal,Jowar,Kharif,Black,4,36.86,138.0,3.744,828.1,947.1,-12.56,32.3,185.8,1,0
Madhya Pradesh,Bajra,Zaid,Black,4,43.32,239.57,5.531,769.4,756.0,1.76,34.1,361.8,0,0
Haryana,Wheat,Zaid,Red,3,27.05,150.49,5.564,800.9,940.2,-14.82,18.8,255.8,0,0
Karnataka,Sugarcane,Kharif,Laterite,2,14.81,18.86,1.274,1061.5,794.9,33.53,42.5,315.6,1,1
Maharashtra,Groundnut,Zaid,Alluvial,5,17.89,25.04,1.399,738.1,728.2,1.36,26.9,285.6,1,0
Rajasthan,Soybean,Zaid,Red,3,17.47,38.89,2.226,748.0,932.6,-19.8,24.5,235.2,1,0
Madhya Pradesh,Soybean,Zaid,Black,4,16.67,37.93,2.275,847.5,879.1,-3.6,27.0,327.1,0,0
Maharashtra,Groundnut,Rabi,Alluvial,5,12.52,18.47,1.474,1456.5,670.6,117.18,17.1,389.8,0,1
West Bengal,Maize,Rabi,Laterite,2,30.64,90.15,2.942,527.0,772.7,-31.8,27.4,388.4,0,1
Uttar Pradesh,Maize,Zaid,Sandy,1,45.07,177.51,3.939,1073.0,961.8,11.56,21.2,326.3,0,0
Karnataka,Pulses,Kharif,Black,4,15.7,61.09,3.891,725.3,908.4,-20.16,26.4,220.6,0,1
Maharashtra,Bajra,Zaid,Black,4,9.74,36.21,3.717,784.8,914.7,-14.2,26.9,107.1,1,0
Andhra Pradesh,Jowar,Zaid,Black,4,42.01,113.15,2.693,472.0,1126.8,-58.12,22.4,65.6,0,1
Tamil Nadu,Sugarcane,Rabi,Black,4,37.22,168.68,4.532,1270.1,999.4,27.09,15.2,131.0,0,0
Tamil Nadu,Soybean,Rabi,Alluvial,5,46.58,239.05,5.132,855.6,832.5,2.78,27.6,169.1,0,0
Karnataka,Pulses,Rabi,Laterite,2,8.69,23.74,2.731,964.7,789.4,22.21,26.0,95.4,1,0
West Bengal,Rice,Zaid,Red,3,7.64,10.91,1.428,425.3,748.0,-43.14,27.2,128.7,0,1
Tamil Nadu,Pulses,Zaid,Alluvial,5,27.3,67.75,2.482,639.4,781.0,-18.13,23.5,79.2,0,0
Maharashtra,Rice,Kharif,Laterite,2,30.91,52.15,1.687,903.1,610.1,48.02,22.1,233.3,0,1
Rajasthan,Cotton,Zaid,Red,3,24.27,80.98,3.337,759.8,667.6,13.81,24.7,94.2,1,0
Haryana,Wheat,Zaid,Black,4,30.15,53.66,1.78,911.7,948.7,-3.9,26.8,310.0,1,0
Haryana,Groundnut,Rabi,Laterite,2,9.43,31.25,3.314,1325.7,1080.2,22.73,30.0,166.4,1,0
Madhya Pradesh,Wheat,Rabi,Black,4,24.24,51.03,2.105,926.2,858.3,7.91,21.1,285.2,0,0
Punjab,Pulses,Rabi,Laterite,2,33.08,155.25,4.694,687.8,744.6,-7.63,30.7,358.9,0,0
Uttar Pradesh,Wheat,Rabi,Sandy,1,21.92,24.94,1.138,637.2,400.0,59.29,29.9,80.1,1,1
Karnataka,Sugarcane,Rabi,Black,4,34.13,128.81,3.774,608.7,1105.6,-44.95,29.1,396.2,0,1
Madhya Pradesh,Cotton,Kharif,Black,4,22.83,42.18,1.847,693.1,649.2,6.76,37.0,275.8,1,0
Punjab,Jowar,Kharif,Black,4,17.01,17.1,1.005,703.6,629.2,11.83,15.4,68.7,1,0
West Bengal,Cotton,Kharif,Alluvial,5,15.53,83.02,5.346,829.7,805.4,3.02,37.7,159.9,1,0
Andhra Pradesh,Soybean,Rabi,Red,3,20.84,90.81,4.358,932.1,843.7,10.48,22.1,360.2,1,0
Andhra Pradesh,Sugarcane,Rabi,Black,4,1.64,2.46,1.495,908.9,851.6,6.73,27.4,258.7,0,1
Uttar Pradesh,Wheat,Rabi,Black,4,33.59,145.13,4.32,833.0,721.8,15.42,26.3,150.5,1,0
Tamil Nadu,Jowar,Kharif,Alluvial,5,42.33,171.8,4.058,850.3,912.4,-6.8,18.0,379.2,1,0
Maharashtra,Wheat,Rabi,Alluvial,5,18.05,60.78,3.367,1433.9,771.7,85.8,29.2,325.5,1,0
Madhya Pradesh,Bajra,Kharif,Sandy,1,2.78,8.6,3.096,619.4,775.5,-20.13,31.2,307.4,0,1
Madhya Pradesh,Bajra,Rabi,Laterite,2,49.35,268.21,5.435,790.8,808.2,-2.15,28.5,360.9,1,0
Karnataka,Maize,Zaid,Black,4,13.55,30.17,2.226,353.7,748.5,-52.75,17.1,319.4,1,1
Karnataka,Cotton,Kharif,Laterite,2,6.77,20.25,2.992,704.3,661.9,6.41,18.6,150.4,1,0
Andhra Pradesh,Jowar,Zaid,Alluvial,5,18.8,49.74,2.646,575.3,671.6,-14.35,21.8,254.4,1,0
Andhra Pradesh,Bajra,Kharif,Alluvial,5,37.06,179.96,4.856,617.5,684.2,-9.75,33.6,344.8,1,0
Rajasthan,Maize,Rabi,Sandy,1,15.05,84.01,5.582,503.6,918.4,-45.17,26.6,113.3,1,1
Rajasthan,Sugarcane,Rabi,Red,3,28.95,151.94,5.249,462.0,909.9,-49.23,14.0,107.1,1,1
Tamil Nadu,Jowar,Zaid,Alluvial,5,21.07,105.11,4.989,830.6,809.7,2.58,38.4,105.6,1,0
Rajasthan,Maize,Rabi,Black,4,6.33,37.56,5.934,977.6,817.1,19.64,35.0,118.0,1,0
Maharashtra,Groundnut,Kharif,Sandy,1,16.85,75.58,4.486,607.1,1025.1,-40.78,19.5,86.1,1,1
Maharashtra,Jowar,Rabi,Red,3,36.38,173.0,4.755,293.1,927.1,-68.39,23.5,343.2,0,1
